BookID,OsisID,BookName,TotalChapters
1,1.Mose,1. Mose,50
2,2.Mose,2. Mose,40
3,3.Mose,3. Mose,27
4,4.Mose,4. Mose,36
5,5.Mose,5. Mose,34
6,Josua,Josua,24
7,Richter,Richter,21
8,Rut,Rut,4
9,1.Samuel,1. Samuel,31
10,2.Samuel,2. Samuel,24
11,1.Könige,1. Könige,22
12,2.Könige,2. Könige,25
13,1.Chronik,1. Chronik,29
14,2.Chronik,2. Chronik,36
15,Esra,Esra,10
16,Nehemia,Nehemia,13
17,Esther,Esther,10
18,Hiob,Hiob,42
19,Psalmen,Psalmen,150
20,Sprüche,Sprüche,31
21,Prediger,Prediger,12
22,Hoheslied,Hoheslied,8
23,Jesaja,Jesaja,66
24,Jeremia,Jeremia,52
25,Klagelieder,Klagelieder,5
26,Hesekiel,Hesekiel,48
27,Daniel,Daniel,12
28,Hosea,Hosea,14
29,Joel,Joel,4
30,Amos,Amos,9
31,Obadja,Obadja,1
32,Jona,Jona,4
33,Micha,Micha,7
34,Nahum,Nahum,3
35,Habakuk,Habakuk,3
36,Zefanja,Zefanja,3
37,Haggai,Haggai,2
38,Sacharja,Sacharja,14
39,Maleachi,Maleachi,3
40,Matthäus,Matthäus,28
41,Markus,Markus,16
42,Lukas,Lukas,24
43,Johannes,Johannes,21
44,Apostelgeschichte,Apostelgeschichte,28
45,Römer,Römer,16
46,1.Korinther,1. Korinther,16
47,2.Korinther,2. Korinther,13
48,Galater,Galater,6
49,Epheser,Epheser,6
50,Philipper,Philipper,4
51,Kolosser,Kolosser,4
52,1.Thessalonicher,1. Thessalonicher,5
53,2.Thessalonicher,2. Thessalonicher,3
54,1.Timotheus,1. Timotheus,6
55,2.Timotheus,2. Timotheus,4
56,Titus,Titus,3
57,Philemon,Philemon,1
58,Hebräer,Hebräer,13
59,Jakobus,Jakobus,5
60,1.Petrus,1. Petrus,5
61,2.Petrus,2. Petrus,3
62,1.Johannes,1. Johannes,5
63,2.Johannes,2. Johannes,1
64,3.Johannes,3. Johannes,1
65,Judas,Judas,1
66,Offenbarung,Offenbarung,22
